restaurant_id,name,restaurant_type,avg_rating,num_ratings,avg_cost_two,online_order,table_booking,cuisine_type,area,address,source,city,typical_delivery_time
14613,Bonanza Natural Ice Cream,,4.4,20,150.0,,,"Ice Cream,Beverages",Pankaj Nagar,Honey Park Road,swiggy,Surat,49
14614,Muthamizh A/C Restaurant,,4.3,500,250.0,,,South Indian,Perambur,Mogappair,swiggy,Chennai,51
14615,Gopal Chinese,,3.9,100,200.0,,,Chinese,Yoginagar Society,Yogi Chowk,swiggy,Surat,55
14616,Hotel Utsav Deluxe,,2.9,80,1000.0,,,"North Indian,South Indian,Thai",Maharshi Nagar,Bibwewadi,swiggy,Pune,49
14617,Shree Janta Ice Cream,,2.9,80,200.0,,,Continental,Vastrapur,Vastrapur,swiggy,Ahmedabad,46
14618,Moussestruck,,4.7,20,150.0,,,"Desserts,Sweets,Bakery",Santacruz East,Scruz Bandra East,swiggy,Mumbai,35
14619,Sree Vishnu Bhavan,,4.0,500,200.0,,,South Indian,Chennai,Kolathur,swiggy,Chennai,63
14620,Sharma Snacks,,4.2,1000,100.0,,,"Beverages,Chaat",Kasba,Ruby,swiggy,Kolkata,66
14621,Chill Out,,4.0,20,300.0,,,"Fast Food,Street Food,Beverages",Katraj,Bibwewadi,swiggy,Pune,67
14622,Dadi Maa Nu Khichu,,2.9,80,100.0,,,Gujarati,Athwa,B/H Chowpaty,swiggy,Surat,39
14623,The Bang Onn Cafe,,4.0,20,250.0,,,"Chinese,Italian,Continental,Beverages",Lake Town,Bangur,swiggy,Kolkata,78
14624,Sai Sandwich Centre,,4.4,100,300.0,,,"Fast Food,Pizzas",Ghatkopar West,Ghatkopar Vikhroli,swiggy,Mumbai,51
14625,Kailash Fast Food,,2.9,80,150.0,,,Fast Food,Uttran,Utran,swiggy,Surat,61
14626,Kod - King Of Desserts And Waffles,,2.9,80,200.0,,,"Desserts,Beverages",Narayan Peth,Asmani Plaza Goodluck Chowk,swiggy,Pune,37
14627,Hotel Annapurna Tarangan,,4.2,100,150.0,,,Maharashtrian,Parvati,Opp. Bsnl Telephonic Exchange,swiggy,Pune,52
14628,Tosamania,,2.9,80,250.0,,,South Indian,Anna Nagar,Ranganathan Garden,swiggy,Chennai,75
14629,Marwadi Chaat & Tiffin Services Shanti Nagar,,3.9,100,300.0,,,North Indian,Shanti Nagar,Shantinagar,swiggy,Bangalore,37
14630,Antarastriya,,2.9,80,200.0,,,"Chinese,Tibetan,Mexican,Italian-American",Basavanagudi,Basavanagudi,swiggy,Bangalore,53
14631,Akshaya Veg Restaurant,,3.9,100,150.0,,,Indian,Purasaiwakkam,Purasawalkam,swiggy,Chennai,45
14632,Ifruit,,2.9,80,200.0,,,"Desserts,Fast Food",Pal Gam,Gaurav Path Road Pal,swiggy,Surat,67
14633,Lakhiya Fast Food,,2.9,80,200.0,,,South Indian,Chandkheda,Motera,swiggy,Ahmedabad,72
14634,Dessert Junction,,3.7,20,200.0,,,Desserts,Andheri East,Andheri East,swiggy,Mumbai,54
